,Noise Param,Error Qz1,Error Qz2,Error Qz3,Error Qz4,Error Qz5,Error Qz6,Error Qz7,Error Qz8,Error Qz9,Error Qz10,Error Qz11,Error Qz12,Error Qz13,Error Qz14
0,9.999999999999999e-05,0.0003,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00031622776601683794,0.0021,0.0006,0.0006,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.001,0.0079,0.0021,0.0025,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0031622776601683794,0.0215,0.0055,0.0062,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.01,0.0636,0.0144,0.0165,0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.03162277660168379,0.1868,0.0466,0.0587,0.0734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.09999999999999999,0.3919,0.1349,0.1715,0.2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.31622776601683794,0.4988,0.3403,0.388,0.4255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.4984,0.5049,0.4946,0.5055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
